236,TRUE,2019-07-15,VERIFIED,PSJ*5*327,331,ROUTINE,INPATIENT MEDICATIONS,MH_NCC_PROJ_5_01.KIDs,2019-07-15,YES
237,TRUE,2019-07-16,VERIFIED,GMRC*3*138,116,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,
243,TRUE,2019-07-16,VERIFIED,WEBI*14.5*1,1,INFORMATIONAL,IHTA,,,
238,TRUE,2019-07-17,VERIFIED,GMRC*3*105,117,OTHER,CONSULT/REQUEST TRACKING,DGBT_1_P35.KIDs,2019-07-17,YES
239,TRUE,2019-07-17,VERIFIED,GMRV*5*38,31,OTHER,VITALS MEASUREMENT,DGBT_1_P35.KIDs,2019-07-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,TRUE,2019-07-17,VERIFIED,DGBT*1*35,37,ROUTINE,BENEFICIARY TRAVEL,DGBT_1_P35.KIDs,2019-07-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,TRUE,2019-07-17,VERIFIED,PSB*3*113,99,OTHER,BAR CODE MEDICATION ADMINISTRATION,DGBT_1_P35.KIDs,2019-07-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,TRUE,2019-07-17,VERIFIED,OR*3*495,427,OTHER,ORDER ENTRY RESULTS REPORTING,DGBT_1_P35.KIDs,2019-07-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,TRUE,2019-07-17,VERIFIED,MD*1*57,54,OTHER,CLINICAL PROCEDURES,DGBT_1_P35.KIDs,2019-07-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,TRUE,2019-07-17,VERIFIED,SD*5.3*713,584,OTHER,SCHEDULING,DGBT_1_P35.KIDs,2019-07-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,TRUE,2019-07-17,VERIFIED,YS*5.01*138,111,ROUTINE,MENTAL HEALTH,7/24/18 - ENTERED IN ERRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,TRUE,2019-07-18,VERIFIED,PSO*7*559,464,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,TRUE,2019-07-18,VERIFIED,MHV*1*42,34,INFORMATIONAL,MYHEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,TRUE,2019-07-22,VERIFIED,IB*2*644,586,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,TRUE,2019-07-22,VERIFIED,MAG*3*204,180,OTHER,VISTA IMAGING,"MAG3_0P204.KIDs
MAG3_0P204_HDIG_SETUP_SCRUBBED",2019-07-23,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,TRUE,2019-07-22,VERIFIED,GMRC*3*140,118,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,TRUE,2019-07-23,VERIFIED,XU*8*711,551,ROUTINE,VISTA KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,TRUE,2019-07-23,VERIFIED,PSO*7*528,465,ROUTINE,OUTPATIENT PHARMACY,PSO_7_528_IB.KIDs,2019-07-29,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,TRUE,2019-07-23,VERIFIED,IB*2*624,587,ROUTINE,INTEGRATED BILLING,PSO_7_528_IB.KIDs,2019-07-29,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,TRUE,2019-07-29,VERIFIED,MD*1*68,55,OTHER,CLINICAL PROCEDURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,TRUE,2019-07-29,VERIFIED,WEBB*2*10,8,INFORMATIONAL,BED MANAGEMENT SOLUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,TRUE,2019-07-29,VERIFIED,GMRC*3*141,119,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,TRUE,2019-07-30,VERIFIED,RA*5*155,141,OTHER,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,TRUE,2019-07-30,VERIFIED,SD*5.3*727,585,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,TRUE,2019-08-01,VERIFIED,PRCA*4.5*338,307,DATA DICTIONARY,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,TRUE,2019-08-01,VERIFIED,IB*28618,588,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,TRUE,2019-08-01,VERIFIED,PRCA*4.5*351,589,ENHANCEMENT,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,TRUE,2019-08-01,VERIFIED,IB*2*645,589,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,TRUE,2019-08-01,VERIFIED,IB*2*646,590,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,TRUE,2019-08-05,VERIFIED,GMRC*3*142,120,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,TRUE,2019-08-08,VERIFIED,SD*5.3*707,586,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,TRUE,2019-08-08,VERIFIED,TIU*1*323,288,ROUTINE,TEXT UTILITY INTEGRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,TRUE,2019-08-08,VERIFIED,GMRC*3*123,121,ROUTINE,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,TRUE,2019-08-08,VERIFIED,PSD*3*88,73,ROUTINE,CONTROLLED SUBSTANCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,TRUE,2019-08-08,VERIFIED,GMRC*3*144,122,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,TRUE,2019-08-12,VERIFIED,PSO*7*565,466,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,TRUE,2019-08-13,VERIFIED,DI*22.2*17,13,ROUTINE,VA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,TRUE,2019-08-13,VERIFIED,VPR*1*16,14,OTHER,VIRTUAL PATIENT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,TRUE,2019-08-15,VERIFIED,XT*7.3*140,111,ROUTINE,KERNEL TOOLKIT,TOOLKIT_INDEX_73.KIDs,2019-08-16,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,TRUE,2019-08-15,VERIFIED,XU*8*661,552,DATA DICTIONARY,KERNEL,TOOLKIT_INDEX_73.KIDs,2019-08-16,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,TRUE,2019-08-16,VERIFIED,MHV*1*43,35,INFORMATIONAL,MYHEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,TRUE,2019-08-19,VERIFIED,SR*3*195,184,ROUTINE,SURGERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,TRUE,2019-08-19,VERIFIED,DVBA*2.7*208,180,ROUTINE,AMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,TRUE,2019-08-19,VERIFIED,SD*5.3*717,587,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,TRUE,2019-08-19,VERIFIED,EAS*1*180,151,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,TRUE,2019-08-20,VERIFIED,MD*1*70,56,ROUTINE,CLINICAL PROCEDURES,MD_1_70_scrubbed.zip,2019-08-22,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,TRUE,2019-08-20,VERIFIED,PSO*7*571,467,INFORMATIONAL,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,FALSE,2019-08-20,VERIFIED,DSIF*4.2*1,1,OTHER,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,TRUE,2019-08-21,VERIFIED,VBEC*2*4,4,INFORMATIONAL,VISTA BLOOD ESTABLISHMENT COMPUTER SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,TRUE,2019-08-21,VERIFIED,PSJ*5*391,332,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,TRUE,2019-08-22,VERIFIED,HDS*1*27,24,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,TRUE,2019-08-22,VERIFIED,DVBA*2.7*213,181,ROUTINE,AMIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,TRUE,2019-08-22,VERIFIED,RA*5*158,142,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,TRUE,2019-08-23,VERIFIED,MAG*3*237,181,ROUTINE,VISTA IMAGING,"MAG3_0-237.KIDs
MAG3_0P237_IMPORTER_SETUP_scrubbed.exe
MAG3_0P237_IMPORTER_SETUP_scrubbed.msi",2019-08-26,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,TRUE,2019-08-26,VERIFIED,FH*5.5*51,48,ROUTINE,NUTRITION AND FOOD SERVICE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,FALSE,2019-08-27,VERIFIED,DSIF*3.2*62,39,OTHER,FEE BASIS CLAIMS SYSTEM,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,TRUE,2019-08-28,VERIFIED,RA*5*157,143,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,TRUE,2019-08-28,VERIFIED,WEBD*2.5*2,1,INFORMATIONAL,DIRECT SECURE MESSAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,TRUE,2019-08-29,VERIFIED,OR*38510,428,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,TRUE,2019-08-29,VERIFIED,JLV*2.8*1,1,INFORMATIONAL,JOINT LEGACY VENTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,TRUE,2019-08-29,VERIFIED,PSO*7*567,468,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,TRUE,2019-08-29,VERIFIED,LR*5.2*529,426,INFORMATIONAL,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,TRUE,2019-09-05,VERIFIED,YS*5.01*152,112,INFORMATIONAL,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,TRUE,2019-09-05,VERIFIED,PSO*7*564,469,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,TRUE,2019-09-05,VERIFIED,PRC*5.1*211,184,ROUTINE,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,TRUE,2019-09-05,VERIFIED,IVM*2*182,148,DATA DICTIONARY,INCOME VERIFICATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,FALSE,2019-09-06,VERIFIED,DENT*1.2*74,72,OTHER,DENTAL,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,TRUE,2019-09-09,VERIFIED,YS*5.01*139,113,ROUTINE,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,TRUE,2019-09-09,VERIFIED,TIU*1*326,289,ROUTINE,TEXT UTILITY INTEGRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,TRUE,2019-09-09,VERIFIED,DG*5.3*978,859,ROUTINE,REGISTRATION,DG_53_P978.KIDs,2019-09-09,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,TRUE,2019-09-09,VERIFIED,IVM*2*180,149,ROUTINE,INCOME VERIFICATION MATCH,DG_53_P978.KIDs,2019-09-09,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,TRUE,2019-09-10,VERIFIED,YS*5.01*153,114,INFORMATIONAL,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,FALSE,2019-09-11,VERIFIED,DSIY*1.4*3,1,OTHER,ABOVE PAR,PROHIBITED BY VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,TRUE,2019-09-13,VERIFIED,PRCA*4.5*357,309,ENHANCEMENT,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,TRUE,2019-09-13,VERIFIED,OR*3*496,429,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,TRUE,2019-09-13,VERIFIED,SD*5.3*704,588,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,TRUE,2019-09-16,VERIFIED,PRCA*4.5*362,310,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,TRUE,2019-09-17,VERIFIED,PRC*5.1*209,185,ROUTINE,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,TRUE,2019-09-18,VERIFIED,SD*5.3*728,589,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,TRUE,2019-09-23,VERIFIED,LEX*2*123,114,ROUTINE,CLINICAL LEXICON,LEX_2_123_GBLs,2019-09-23,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,TRUE,2019-09-23,VERIFIED,ICD*1*100,88,INFORMATIONAL,DRG GROUPER,LEX_2_123_GBLs,2019-09-23,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,TRUE,2019-09-23,VERIFIED,ICPT*6*90,88,INFORMATIONAL,CPT CODES,LEX_2_123_GBLs,2019-09-23,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,TRUE,2019-09-23,VERIFIED,GMRC*3*143,123,INFORMATIONAL,CONSULT/REQUEST TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,TRUE,2019-09-24,VERIFIED,ECX*3*175,157,ROUTINE,DSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,TRUE,2019-09-25,VERIFIED,DGBT*1*37,38,ROUTINE,BENEFICIARY TRAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,TRUE,2019-09-25,VERIFIED,EC*2*147,140,ROUTINE,EVENT CAPTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,TRUE,2019-09-25,VERIFIED,PSJ*5*389,333,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,TRUE,2019-09-25,VERIFIED,MAG*3*230,182,ROUTINE,VISTA IMAGING,"MAG3_0P230.KIDs
MAG3_0P230_VIX_SETUP_scrubbed.MSI",2019-09-27,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,TRUE,2019-09-26,VERIFIED,OHRS*1.4*18,18,INFORMATIONAL,OCCUPATIONAL HEALTH RECORDKEEPING SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,TRUE,2019-09-27,VERIFIED,WEBE*3*2,2,INFORMATIONAL,COMMUNITY VIEWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,TRUE,2019-09-30,VERIFIED,PSJ*5*390,334,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,TRUE,2019-09-30,VERIFIED,LR*5.2*525,427,ROUTINE,LABORATORY,LR_52_525.KIDs,2019-10-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,TRUE,2019-09-30,VERIFIED,IB*2*651,591,ENHANCEMENT,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,TRUE,2019-09-30,VERIFIED,PSO*7*569,470,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,TRUE,2019-10-01,VERIFIED,GMRA*4*60,54,ROUTINE,ADVERSE REACTION TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,TRUE,2019-10-01,VERIFIED,PRCA*4.5*348,311,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,TRUE,2019-10-02,VERIFIED,OR*3*500,430,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,TRUE,2019-10-02,VERIFIED,IB*2*657,592,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,TRUE,2019-10-08,VERIFIED,DVBA*2.7*212,182,ROUTINE,AMIE,DVBA_27_P212_7_scrubbed.ZIP,2019-10-09,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,TRUE,2019-10-08,VERIFIED,PRCA*4.5*356,312,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,TRUE,2019-10-10,VERIFIED,IB*2*631,593,ROUTINE,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,TRUE,2019-10-10,VERIFIED,HDS*1*28,25,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,TRUE,2019-10-15,VERIFIED,LR*5.2*519,428,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,TRUE,2019-10-15,VERIFIED,YS*5.01*155,115,INFORMATIONAL,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,TRUE,2019-10-15,VERIFIED,WEBI*15*1,1,INFORMATIONAL,IHTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,TRUE,2019-10-15,VERIFIED,YS*5.01*151,116,ROUTINE,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,TRUE,2019-10-15,VERIFIED,DG*5.3*987,860,ROUTINE,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,TRUE,2019-10-16,VERIFIED,PSJ*5*380,335,ROUTINE,INPATIENT MEDICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,TRUE,2019-10-16,VERIFIED,PRCA*4.5*355,313,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,TRUE,2019-10-16,VERIFIED,DG*5.3*981,861,DATA DICTIONARY,REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,TRUE,2019-10-16,VERIFIED,MPIF*1*71,68,ROUTINE,MASTER PATIENT INDEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,TRUE,2019-10-16,VERIFIED,RG*1*72,71,ROUTINE,CLINICAL INFO NETWORK (CIRN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,TRUE,2019-10-16,VERIFIED,XU*8*710,553,ROUTINE,KERNEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,TRUE,2019-10-17,VERIFIED,IVM*2*179,150,ROUTINE,INCOME VERIFICATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,TRUE,2019-10-21,VERIFIED,EAS*1*181,152,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
