264,TRUE,2017-08-10,VERIFIED,PRS*4*146,138,DATA DICTIONARY,PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,TRUE,2017-08-14,VERIFIED,PSN*4*396,513,ROUTINE,NATIONAL DRUG FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,TRUE,2017-08-14,VERIFIED,PSS*1*195,181,ROUTINE,PHARMACY DATA MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,TRUE,2017-08-14,VERIFIED,PRCA*4.5*320,285,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,TRUE,2017-08-15,VERIFIED,PSO*7*486,403,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,TRUE,2017-08-15,VERIFIED,MAG*3*191,137,OTHER,VISTA IMAGING,MAG3_0P191_scrubbed.zip,2017-08-15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,TRUE,2017-08-16,VERIFIED,HDS*1*13,10,INFORMATIONAL,HEALTH DATA REPOSITORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,TRUE,2017-08-17,VERIFIED,LEX*2*112,103,OTHER,CLINICAL LEXICON,LEX_2_112.GBLs,2017-08-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,TRUE,2017-08-17,VERIFIED,ICPT*6*80,78,INFORMATIONAL,CPT CODES,LEX_2_112.GBLs,2017-08-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,TRUE,2017-08-18,VERIFIED,GMRC*3*90,78,ROUTINE,CONSULT TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,TRUE,2017-08-21,VERIFIED,PSN*4*530,514,ROUTINE,NATIONAL DRUG FILE,NDF4P530.KIDs,2017-08-28,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,TRUE,2017-08-21,VERIFIED,PSN*4*531,515,ROUTINE,NATIONAL DRUG FILE,NDF4P531.KIDs,2017-08-28,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,FALSE,2017-08-21,VERIFIED,DSIV*2.2*13,12,ENHANCEMENT,INSURANCE CAPTURE BUFFER,PROHIBITED BY COPYRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,TRUE,2017-08-22,VERIFIED,FB*3.5*477,146,ROUTINE,FEE BASIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,TRUE,2017-08-23,VERIFIED,PSO*7*466,404,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,TRUE,2017-08-24,VERIFIED,WEBE*2.5*1,1,INFORMATIONAL,COMMUNITY VIEWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,TRUE,2017-08-24,VERIFIED,RMPR*3*182,162,ROUTINE,PROSTHETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,TRUE,2017-08-28,VERIFIED,PRC*5.1*200,174,ROUTINE,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,TRUE,2017-08-28,VERIFIED,VSS*5*3,3,INFORMATIONAL,VOLUNTARY SERVICE SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,TRUE,2017-08-29,VERIFIED,ROR*1.5*30,30,ROUTINE,CLINICAL REGISTRIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,TRUE,2017-08-29,VERIFIED,NUR*4*44,44,ROUTINE,NURSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,TRUE,2017-08-31,VERIFIED,EC*2*138,129,ROUTINE,EVENT CAPTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,TRUE,2017-08-31,VERIFIED,OR*3*458,380,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,TRUE,2017-09-01,VERIFIED,ETS*1*1,1,ROUTINE,ENTERPRISE TERMINOLOGY SERVICES,ETS_1_0_1.KID,2017-09-01,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,TRUE,2017-09-06,VERIFIED,RMRP*3*188,163,ROUTINE,PROSTHETICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,TRUE,2017-09-06,VERIFIED,PRC*5.1*194,175,ROUTINE,IFCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,TRUE,2017-09-07,VERIFIED,PSD*3*79,66,ROUTINE,CONTROLLED SUBSTANCES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,TRUE,2017-09-07,VERIFIED,MAG*3*166,138,ROUTINE,VISTA IMAGING,MAG3_0P166.KIDs,2017-09-07,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,TRUE,2017-09-07,VERIFIED,FB*3.5*176,147,ROUTINE,FEE BASIS,FB3_5176.KID,2017-09-11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,TRUE,2017-09-08,VERIFIED,MAG*3*172,139,ENHANCEMENT,VISTA IMAGING,MAG3_0P172.KIDs,2017-09-11,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,TRUE,2017-09-08,VERIFIED,RA*5*119,122,ROUTINE,RADIOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,TRUE,2017-09-08,VERIFIED,MAG*3*193,140,INFORMATIONAL,VISTA IMAGING,MAG3_0P170_RESOURCES.ZIP,2017-09-11,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,TRUE,2017-09-13,VERIFIED,SD*5.3*663,551,ROUTINE,SCHEDULING,SD53_663_EC20_136.KID,2017-09-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,TRUE,2017-09-13,VERIFIED,EC*2*136,130,ROUTINE,EVENT CAPTURE,SD53_663_EC20_136.KID,2017-09-18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,TRUE,2017-09-14,VERIFIED,IVM*2*165,139,ROUTINE,INCOME VERIFICATION MATCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,TRUE,2017-09-14,VERIFIED,MHV*1*33,25,INFORMATIONAL,MYHEALTHEVET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,TRUE,2017-09-14,VERIFIED,PSO*7*473,405,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,TRUE,2017-09-15,VERIFIED,PSN*4*532,516,ROUTINE,NATIONAL DRUG FILE,NDF4P532.KIDs,2017-09-18,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,TRUE,2017-09-18,VERIFIED,LR*5.2*485,390,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,TRUE,2017-09-18,VERIFIED,LR*5.2*488,391,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,TRUE,2017-09-18,VERIFIED,RA*5*136,123,OTHER,RADIOLOGY,,,
305,TRUE,2017-09-18,VERIFIED,IB*2*599,546,ROUTINE,INTEGRATED BILLING,,,
306,FALSE,2017-09-19,VERIFIED,PSJ*5*341,292,ROUTINE,INPATIENT PHARMACY,THIS PATCH WAS PULLED ON 10/10/17,,
307,TRUE,2017-09-19,VERIFIED,LR*5.2*478,392,ROUTINE,LABORATORY,,,
308,TRUE,2017-09-20,VERIFIED,ECX*3*167,149,ROUTINE,DSS,,,
309,TRUE,2017-09-20,VERIFIED,GMRV*5*31,26,ROUTINE,VITALS,,,
310,TRUE,2017-09-20,VERIFIED,EC*2*137,131,ROUTINE,EVENT CAPTURE,,,
311,TRUE,2017-09-20,VERIFIED,HDS*1*14,11,INFORMATIONAL,HEALTH DATA REPOSITORY,,,
312,TRUE,2017-09-20,VERIFIED,DVBA*2.7*200,172,ROUTINE,AMIE,,,
313,TRUE,2017-09-21,VERIFIED,MHV*1*29,26,ROUTINE,MYHEALTHEVET,,,
314,TRUE,2017-09-21,VERIFIED,JLV*2.6*1,1,INFORMATIONAL,JOINT LEGACY VIEWER,,,
315,TRUE,2017-09-25,VERIFIED,FB*3.5*174,148,ROUTINE,FEE BASIS,,,
316,TRUE,2017-09-25,VERIFIED,PRCA*4.5*327,286,ROUTINE,ACCOUNTS RECEIVABLE,,,
317,TRUE,2017-09-25,VERIFIED,SD*5.3*646,552,DATA DICTIONARY,SCHEDULING,,,
318,TRUE,2017-09-25,VERIFIED,PSD*3*81,67,ROUTINE,CONTROLLED SUBSTANCES,,,
319,TRUE,2017-09-26,VERIFIED,TIU*1*301,279,ROUTINE,TEXT INTEGRATION UTILITY,,,
320,TRUE,2017-09-27,VERIFIED,DI*22.2*13,8,ROUTINE,VA FILEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,TRUE,2017-09-27,VERIFIED,PSO*7*488,406,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,TRUE,2017-09-28,VERIFIED,VPR*1*6,5,ROUTINE,VIRTUAL PATIENT RECORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,TRUE,2017-10-02,VERIFIED,EAS*1*153,124,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,TRUE,2017-10-02,VERIFIED,PSO*7*422,407,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,TRUE,2017-10-02,VERIFIED,ICD*18*90,82,ROUTINE,DRG GROUPER,ICD_18_90.KIDs,2017-10-04,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,TRUE,2017-10-04,VERIFIED,PSB*3*99,82,ROUTINE,BAR CODE MED ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,FALSE,2017-10-04,VERIFIED,MAG*3*195,141,INFORMATIONAL,VISTA IMAGING,THIS PATCH WAS PULLED ON 10/10/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,TRUE,2017-10-04,VERIFIED,SD*5.3*664,553,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,TRUE,2017-10-04,VERIFIED,WEBN*1.1*7,6,INFORMATIONAL,NUMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,TRUE,2017-10-05,VERIFIED,PSJ*5*338,293,ROUTINE,INPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,TRUE,2017-10-05,VERIFIED,PRCA*4.5*318,287,ENHANCEMENT,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,TRUE,2017-10-05,VERIFIED,YS*5.01*131,98,ROUTINE,MENTAL HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,TRUE,2017-10-05,VERIFIED,LR*5.2*493,393,ENHANCEMENT,LABORATORY,LR_52_493.KID,2017-10-05,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,TRUE,2017-10-05,VERIFIED,LEX*2*113,104,ROUTINE,CLINICAL LEXICON,LEX_2_113_GBLs,2017-10-06,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,TRUE,2017-10-05,VERIFIED,ICD*18*92,83,INFORMATIONAL,DRG GROUPER,LEX_2_113_GBLs,2017-10-06,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,TRUE,2017-10-05,VERIFIED,ICPT*6*81,79,INFORMATIONAL,CPT CODES,LEX_2_113_GBLs,2017-10-06,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,TRUE,2017-10-05,VERIFIED,SD*5.3*650,554,ROUTINE,SCHEDULING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,TRUE,2017-10-10,VERIFIED,WEBD*1.11*1,1,INFORMATIONAL,DIRECT SECURE MESSAGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,TRUE,2017-10-10,VERIFIED,OR*3*454,381,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,TRUE,2017-10-11,VERIFIED,OR*3*401,382,ROUTINE,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,TRUE,2017-10-11,VERIFIED,MAG*3*186,142,ROUTINE,VISTA IMAGING,MAG3_0P186.KIDs,2017-10-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,TRUE,2017-10-12,VERIFIED,MAG*3*177,143,ROUTINE,VISTA IMAGING,MAG3_0P177.KIDs,2017-10-17,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,TRUE,2017-10-12,VERIFIED,GMPL*2*50,44,ROUTINE,PROBLEM LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,TRUE,2017-10-17,VERIFIED,HMP*2*12,10,OTHER,HEALTH MANAGEMENT PLATFORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,TRUE,2017-10-18,VERIFIED,PSN*4*533,517,ROUTINE,NATIONAL DRUG FILE,NDF4P533.KIDs,2017-10-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,TRUE,2017-10-18,VERIFIED,PSN*4*534,518,ROUTINE,NATIONAL DRUG FILE,NDF4P534.KIDs,2017-10-24,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,TRUE,2017-10-19,VERIFIED,WEBI*10.5*1,1,INFORMATIONAL,INTEGRATED HOME TELEHEALTH APPLICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,TRUE,2017-10-19,VERIFIED,NHIN*1*15,13,INFORMATIONAL,NATIONAL HEALTH INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,TRUE,2017-10-19,VERIFIED,OR*3*448,383,OTHER,ORDER ENTRY RESULTS REPORTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,TRUE,2017-10-20,VERIFIED,WEBA*2.7*7,4,INFORMATIONAL,VETERANS AUTHORIZATION AND PREFERENCES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,TRUE,2017-10-23,VERIFIED,EAS*1*155,125,INFORMATIONAL,ENROLLMENT APPLICATION SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,TRUE,2017-10-23,VERIFIED,IB*2*577,547,ENHANCEMENT,INTEGRATED BILLING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,TRUE,2017-10-24,VERIFIED,PRCA*4.5*331,288,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,TRUE,2017-10-27,VERIFIED,PRCA*4.5*319,289,ROUTINE,ACCOUNTS RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,TRUE,2017-10-27,VERIFIED,GMRC*3*94,79,INFORMATIONAL,CONSULT TRACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,TRUE,2017-10-27,VERIFIED,PSO*7*442,408,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,TRUE,2017-10-30,VERIFIED,WEBP*1*14,14,INFORMATIONAL,PCMM (PATIENT CENTERED MANAGEMENT MODULE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,TRUE,2017-10-31,VERIFIED,ONC*2.2*6,6,ROUTINE,ONCOLOGY,ONC22P6.KIDs,2017-11-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,TRUE,2017-10-31,VERIFIED,PSN*4*535,519,ROUTINE,NATIONAL DRUG FILE,NDF4P535.KIDs,2017-11-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,TRUE,2017-10-31,VERIFIED,PSN*4*536,520,ROUTINE,NATIONAL DRUG FILE,NDF4P536.KIDs,2017-11-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,TRUE,2017-10-31,VERIFIED,PSN*4*537,521,ROUTINE,NATIONAL DRUG FILE,NDF4P537.KIDs,2017-11-01,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,TRUE,2017-10-31,VERIFIED,PRS*4*150,139,ROUTINE,PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,TRUE,2017-11-01,VERIFIED,ECX*3*166,150,ROUTINE,DSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,TRUE,2017-11-01,VERIFIED,GMTS*2.7*121,110,ROUTINE,HEALTH SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,TRUE,2017-11-02,VERIFIED,RMPR*3*187,164,OTHER,PROSTHETICS,RMPR3_0P187GUI_1_scrubbed.ZIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,TRUE,2017-11-02,VERIFIED,PSO*7*446,409,ROUTINE,OUTPATIENT PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,TRUE,2017-11-02,VERIFIED,LR*5.2*491,394,ROUTINE,LABORATORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,TRUE,2017-11-02,VERIFIED,MPIF*1*65,62,ROUTINE,MASTER PATIENT INDEX FILE,,,
369,TRUE,2017-11-02,VERIFIED,DG*5.3*944,828,ENHANCEMENT,REGISTRATION,,,
370,TRUE,2017-11-02,VERIFIED,SD*5.3*648,555,ROUTINE,SCHEDULING,,,
371,TRUE,2017-11-02,VERIFIED,TIU*1*312,280,ROUTINE,TEXT INTEGRATION UTILITY,,,
372,TRUE,2017-11-03,VERIFIED,LEX*2*115,105,ENHANCEMENT,CLINICAL LEXICON,LEX_2_115.GBLs,2017-11-06,YES
373,TRUE,2017-11-03,VERIFIED,ICPT*6*82,80,INFORMATIONAL,CPT CODES,LEX_2_115.GBLs,2017-11-06,YES
374,TRUE,2017-11-03,VERIFIED,GMTS*2.7*120,111,ROUTINE,HEALTH SUMMARY,,,
375,TRUE,2017-11-06,VERIFIED,BPS*1*22,20,ROUTINE,HIPAA,BPS_1_22_PSO_PSX.KIDs,2017-11-13,YES
376,TRUE,2017-11-06,VERIFIED,PSO*7*478,410,ROUTINE,OUTPATIENT PHARMACY,BPS_1_22_PSO_PSX.KIDs,2017-11-13,YES
377,TRUE,2017-11-06,VERIFIED,PSX*2*81,72,ROUTINE,CONSOLIDATED MAILOUT PROGRAM (CMOP),BPS_1_22_PSO_PSX.KIDs,2017-11-13,YES
378,TRUE,2017-11-07,VERIFIED,OR*3*434,384,OTHER,ORDER ENTRY RESULTS REPORTING,"CPRS V 31A
CPRESV31A_COMBINED_BUILD.KIDs
OR_30_434_scrubbed.zip",2017-11-13,YES
379,TRUE,2017-11-07,VERIFIED,GMRV*5*34,27,OTHER,VITALS,"CPRS V 31A
CPRESV31A_COMBINED_BUILD.KIDs
OR_30_434_scrubbed.zip",2017-11-13,YES
380,TRUE,2017-11-07,VERIFIED,YS*5.01*1328,99,OTHER,MENTAL HEALTH,"CPRS V 31A
CPRESV31A_COMBINED_BUILD.KIDs
OR_30_434_scrubbed.zip",2017-11-13,YES
381,TRUE,2017-11-09,VERIFIED,MAG*3*189,144,OTHER,VISTA IMAGING,MAG3_0P189.KIDs,2017-11-13,YES
382,TRUE,2017-11-13,VERIFIED,LR*5.2*492,395,ROUTINE,LABORATORY,,,
383,TRUE,2017-11-14,VERIFIED,PSN*4*538,522,ROUTINE,NATIONAL DRUG FILE,NDF4P538.KIDs,2017-11-15,YES
384,TRUE,2017-11-14,VERIFIED,RMPR*3*189,165,ROUTINE,PROSTHETICS,,,
385,TRUE,2017-11-14,VERIFIED,PSS*1*208,182,ROUTINE,PHARMACY DATA MANAGEMENT,,,
386,TRUE,2017-11-15,VERIFIED,SD*5.3*670,556,ROUTINE,SCHEDULING,,,
387,TRUE,2017-11-16,VERIFIED,SD*5.3*671,557,ROUTINE,SCHEDULING,,,
388,TRUE,2017-11-16,VERIFIED,PSO*7*495,411,ROUTINE,OUTPATIENT PHARMACY,,,
389,TRUE,2017-11-17,VERIFIED,PSU*4*22,20,ROUTINE,PHARMACY BENEFITS MANAGEMENT,,,
390,TRUE,2017-11-21,VERIFIED,TBI*2*18,17,INFORMATIONAL,TRAUMATIC BRAIN INJURY,,,
391,TRUE,2017-11-21,VERIFIED,SD*5.3*678,558,INFORMATIONAL,SCHEDULING,,,
392,TRUE,2017-11-22,VERIFIED,DGBT*1*33,33,ROUTINE,BENEFICIARY TRAVEL,,,
393,TRUE,2017-11-27,VERIFIED,ECX*3*169,151,ROUTINE,DSS,,,
394,TRUE,2017-11-27,VERIFIED,IB*2*593,548,ROUTINE,INTEGRATED BILLING,,,
395,TRUE,2017-11-28,VERIFIED,OOPS*2*30,29,ROUTINE,ASSISTS,OOPS2_P30_scrub.ZIP,,
396,TRUE,2017-11-28,VERIFIED,PSS*1*213,183,ROUTINE,PHARMACY DATA MANAGEMENT,,,
397,TRUE,2017-11-30,VERIFIED,PRS*4*152,140,ROUTINE,PAID,,,
398,TRUE,2017-11-30,VERIFIED,PSO*7*490,412,ROUTINE,OUTPATIENT PHARMACY,,,
399,TRUE,2017-11-30,VERIFIED,VIAA*1*3,5,ROUTINE,REAL TIME LOCATION SYSTEM,,,
400,TRUE,2017-11-30,VERIFIED,EN*7*100,91,ROUTINE,ENGINEERING,,,
401,,,,,,,,,,
402,,,,,,,,,,
403,,,,,,,,,,
404,,,,,,,,,,
405,,,,,,,,,,
406,,,,,,,,,,
407,,,,,,,,,,
408,,,,,,,,,,
409,,,,,,,,,,
410,,,,,,,,,,
411,,,,,,,,,,
412,,,,,,,,,,
413,,,,,,,,,,
414,,,,,,,,,,
415,,,,,,,,,,
416,,,,,,,,,,
417,,,,,,,,,,
418,,,,,,,,,,
419,,,,,,,,,,
420,,,,,,,,,,
421,,,,,,,,,,
422,,,,,,,,,,
